filename,ATTRIBUTE_Group,ATTRIBUTE_Sample,ATTRIBUTE_reps,ATTRIBUTE_Corromics_filename
Blank_01.mzML,NA,blank,NA,NA
Blank_03.mzML,NA,blank,NA,NA
Blank_05.mzML,NA,blank,NA,NA
Cor_1_1.mzML,1,sample,1,sample_1
Cor_1_2.mzML,1,sample,2,sample_25
Cor_10_1.mzML,10,sample,1,sample_10
Cor_10_2.mzML,10,sample,2,sample_34
Cor_11_1.mzML,11,sample,1,sample_11
Cor_11_2.mzML,11,sample,2,sample_35
Cor_12_1.mzML,12,sample,1,sample_12
Cor_12_2.mzML,12,sample,2,sample_36
Cor_13_1.mzML,13,sample,1,sample_13
Cor_13_2.mzML,13,sample,2,sample_37
Cor_14_1.mzML,14,sample,1,sample_14
Cor_14_2.mzML,14,sample,2,sample_38
Cor_15_1.mzML,15,sample,1,sample_15
Cor_15_2.mzML,15,sample,2,sample_39
Cor_16_1.mzML,16,sample,1,sample_16
Cor_16_2.mzML,16,sample,2,sample_40
Cor_17_1.mzML,17,sample,1,sample_17
Cor_17_2.mzML,17,sample,2,sample_41
Cor_18_1.mzML,18,sample,1,sample_18
Cor_18_2.mzML,18,sample,2,sample_42
Cor_19_1.mzML,19,sample,1,sample_19
Cor_19_2.mzML,19,sample,2,sample_43
Cor_2_1.mzML,2,sample,1,sample_2
Cor_2_2.mzML,2,sample,2,sample_26
Cor_20_1.mzML,20,sample,1,sample_20
Cor_20_2.mzML,20,sample,2,sample_44
Cor_21_1.mzML,21,sample,1,sample_21
Cor_21_2.mzML,21,sample,2,sample_45
Cor_22_1.mzML,22,sample,1,sample_22
Cor_22_2.mzML,22,sample,2,sample_46
Cor_23_1.mzML,23,sample,1,sample_23
Cor_23_2.mzML,23,sample,2,sample_47
Cor_3_1.mzML,3,sample,1,sample_3
Cor_3_2.mzML,3,sample,2,sample_27
Cor_4_1.mzML,4,sample,1,sample_4
Cor_4_2.mzML,4,sample,2,sample_28
Cor_5_1.mzML,5,sample,1,sample_5
Cor_5_2.mzML,5,sample,2,sample_29
Cor_6_1.mzML,6,sample,1,sample_6
Cor_6_2.mzML,6,sample,2,sample_30
Cor_7_1.mzML,7,sample,1,sample_7
Cor_7_2.mzML,7,sample,2,sample_31
Cor_8_1.mzML,8,sample,1,sample_8
Cor_8_2.mzML,8,sample,2,sample_32
Cor_9_1.mzML,9,sample,1,sample_9
Cor_9_2.mzML,9,sample,2,sample_33
